index	title	last_name	first_name	date	num_acts	url
F_237	La Mort De Molière	Cubières-Palmèzeaux	Michel de 	1802	4	http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/CUBIERES-PALMEZEAUX_MORTDEMOLIERE4A.xml
F_238	Le Mari ambitieux ou L'homme qui veut faire son chemin	Picard	Louis-Benoît 	1802	5	
F_239	Les Viellard et Les Jeunes Gens	Collin d’Harleville	Jean-François	1803	5	
F_240	Le Trésor	Andrieux	L. J. G. S	1803	5	
F_242	Le Tyran domestique	Duval	Alexandre	1805	5	
F_243	La Vieille fille 	Triquet	C	1806	5	
F_244	"Le Mari confiant, ou Confiance et naïveté"	Bonafous	Paulin	1807	4	
F_245	L'Assemblée de famille	Riboutté	François-Louis	1808	5	245_a
F_246	Les Capitulations de conscience 	Picard	Louis-Benoît 	1809	5	
F_247	"Le Vieux fat, ou Les deux vieillards , comédie en cinq actes , en vers"	Andrieux	François 	1810	5	
F_248	Les Deux gendres	 Étienne	Charles-Guillaume	1810	5	248_b
F_249	Le Ministère anglais	Riboutté	François-Louis	1812	5	
F_250	Le Défiant	Dalban	Pierre Jean Baptiste	1813	5	
F_251	"Les Adeptes, ou le Charlatanisme dévoilé"	Poya	Pierre	1813	5	
F_252	"L'Intrigante, ou L'école des familles"	Étienne	Charles-Guillaume	1813	5	
F_253	Le Méfiant	Leroy	Onésime	1813	5	
F_255	"L'Usurier anobli, ou les Moyens de purger sa réputation"	Roux		1816	5	
F_256	 La Journée des dupes ou L'envie de parvenir 	Charlemagne	Armand	1816	5	
F_257	La Manie des Grandeurs	Duval	Alexandre	1817	5	
F_258	La Fille d'honneur	Duval	Alexandre	1818	5	
F_259	"La Famille Glinet, ou Les premiers temps de la Ligue "	Merville		1818	5	
F_260	Le Chevalier d'industrie	Duval	Alexandre	1818	5	
F_261	"Le Faux ami de cour, ou le Danger des liaisons"	Michaud	L. G. 	1818	5	
F_262	Les Comédiens	Delavigne	Casimir	1820	5	http://www.theatre-classique.fr/pages/programmes/edition.php?t=../documents/DELAVIGNE_COMEDIENS.xml
F_263	Le Flatteur	Gosse	Étienne	1820	5	
F_264	Le Folliculaire	La Ville de Mirmon	Jean de	1820	5	
F_265	"L'Artiste ambitieux, ou l'Adoption"	Théaulon	Emmanuel	1820	5	
F_266	Le Faux bonhomme	Duval	Alexandre	1821	5	
F_267	Les Quatres âges	Merville		1822	5	
F_268	L'Amour et l'ambition	Riboutté	 François-Louis	1822	5	
F_269	L'École des vieillards	Delavigne	Casimir	1823	5	
F_270	L’Éducation ou les deux Cousine	Bonjour	Casimir	1823	5	
F_271	Une intrigue de bureau	Roucher	J.F.	1823	5	
F_272	"Le Mari à Bonnes Fortunes, ou La Leçon"	Bonjour	Casimir	1824	5	
F_273	Luxe et indigence ou le ménage parisien	Epagny	Violet d'	1824	5	
F_274	Constance ou l'indifférence vaincue	Princeteau	Th.	1824	5	
F_275	L'Héritage	Mennechet	 Édouard	1825	5	
F_276	Le Roman	La Ville de Mirmont	Jean de	1825	5	
F_277	L'Indiscret	Théaulon	Emmanuel	1825	5	
F_278	L’Argent ou les Moeurs du Jour	Bonjour	Casimir	1826	5	
F_279	"Les Jésuites, ou les autres Tartuffes "	Gosse	Étienne	1827	5	
F_280	" L'Homme habile, ou Tout pour parvenir"	Epagny	Violet d'	1827	5	
F_304	Les Intrigans	Capuran	Louis-Benoit	1827	5	
F_282	La Princesse Aurélie	Delavigne	Casimir	1828	5	
F_283	L'école de la jeunesse ou le sage de vingt ans	Drap-Arnaud		1828	5	
F_284	L'Original	Dalban	Pierre-Jean-Baptiste	1830	5	
F_285	Le Presbytère	Bonjour	Casimir	1833	5	
F_281	La Popularité	Delavigne	Casimir	1838	5	
F_288	L'école du commerce	Grille	François-Joseph	1838	5	
F_289	Le Ménestrel	Bernay	Camille	1838	5	
F_290	L'école des journalistes	Girardin	Delphine de	1839	5	
F_291	Le Ver rongeur	Grille	François-Joseph	1839	5	
F_292	suivi de la Haine d'une femme	Guichard	Laurent	1839	5	
F_293	Molière a Chambord	Desportes	Auguste	1843	4	
F_294	Le Bachelier de Ségovie ou Les Hautes Études	Bonjour	Casimir	1844	5	
F_295	L'Univers et la maison	Mery	Joseph	1846	5	
F_296	L'Intrigue électorale	Saugeon	J.M.M.	1846	4	
F_301	La séduction et l'amour vrai	Rey	Charles	1847	5	
F_297	Le Bourgeois anobli 	Rey	Charles	1847	5	
F_298	La Course à l'héritage 	Viennet	Jean-Pons-Guillaume	1847	5	
F_300	Gabrielle	Augier	Émile	1849	5	http://www.xn--thtre-documentation-cvb0m.com/content/a-0?q=node/70
